,regime,n_bars,pct_time,sharpe,sortino,cagr,max_drawdown,win_rate,avg_return,total_return,contribution
vol_regime,EXTREME,154,0.1623,2.8165,50.9159,5.752846,-0.0427,0.3831,0.0086,2.212984,1.324364
vol_regime,HIGH,275,0.2898,3.1373,105.9544,8.734253,-0.0311,0.3418,0.010203,10.981325,2.805864
vol_regime,LOW,155,0.1633,2.499,159.9156,3.208354,-0.0144,0.3677,0.006426,1.420352,0.996037
vol_regime,NORMAL,365,0.3846,1.6086,59.8752,0.954346,-0.0213,0.3534,0.003037,1.639309,1.10848
trend_regime,DOWNTREND,348,0.3667,0.5978,3.6988,0.107855,-0.0812,0.3793,0.000476,0.151937,0.165626
trend_regime,RANGE_BOUND,229,0.2413,2.32,74.0893,2.395599,-0.0154,0.2838,0.005457,2.037104,1.249692
trend_regime,STRONG_DOWNTREND,18,0.019,4.1797,7.5745,0.1856,-0.0063,0.6111,0.000679,0.012235,0.012221
trend_regime,STRONG_UPTREND,49,0.0516,3.1904,254.2773,8.024111,-0.0077,0.3673,0.009769,0.533815,0.478685
trend_regime,UPTREND,305,0.3214,3.642,226.7335,22.340146,-0.0198,0.3705,0.014192,44.273038,4.328521
