,Baseline (Fixed),Vol-Targeted,Regime-Aware,Combined
sharpe_ratio,1.9431,2.4218,2.277,2.277
sortino_ratio,100.4974,79.255,111.5838,111.5838
max_drawdown_pct,-1.0704,-4.5739,-2.886,-2.886
max_drawdown_abs,-3436.92,-611295.02,-342108.72,-342108.72
cagr,0.458932,3.36416,2.741379,2.741379
calmar_ratio,42.8748,73.5512,94.9889,94.9889
annualised_volatility,0.182153,0.673657,0.64007,0.64007
win_rate,0.6939,0.6939,0.6905,0.6905
profit_factor,0.5742,0.6468,0.7538,0.7538
avg_trade_return,-60.17,-7020.7637,-2586.3149,-2586.3149
avg_win,116.9155,18529.2279,11466.1311,11466.1311
avg_loss,-461.5638,-64934.0779,-33934.0791,-33934.0791
num_trades,49.0,49.0,42.0,42.0
num_wins,34.0,34.0,29.0,29.0
num_losses,15.0,15.0,13.0,13.0
exposure,,,,
total_return_pct,315.3236,25741.8724,14362.3406,14362.3406
